"x1"	"y1"
"1"	1.5	-0.550015127895957
"2"	1.4	-0.21748944356552
"3"	0.7	0.724990877303801
"4"	-1.5	-9.77396276021423
"5"	0.5	0.600374029503078
"6"	0	-0.300736380618617
"7"	0.5	0.572997948046774
"8"	-1.9	-12.8149647134917
"9"	-1.2	-6.87294321566339
"10"	-1.6	-10.6706420140914
"11"	1.2	0.263046706389608
"12"	-0.7	-3.27810192963546
"13"	-0.6	-2.88891183037779
"14"	1.6	-0.798834142640856
"15"	0.2	0.0157829288643923
"16"	-0.2	-1.10190912058362
"17"	1.7	-1.06649636736726
"18"	0.7	0.72498476272747
"19"	-0.6	-2.85323160369667
"20"	0.9	0.674344784375785
"21"	1.7	-1.03403981080789
"22"	0	-0.410096588685936
"23"	-1.7	-11.7141985425837
"24"	-0.3	-1.45127529427386
"25"	-1.8	-12.1998028350701
"26"	0.3	0.385827408090468
"27"	0.1	-0.0786298035124078
"28"	-0.6	-2.92562405738296
"29"	0.4	0.534140738838487
"30"	1.3	0.223677831813112
"31"	-1.9	-13.0413100733834
"32"	1.4	-0.018823970737707
"33"	1.5	-0.38133225443227
"34"	-1.7	-11.0334957088751
"35"	-1.8	-12.4328735064038
"36"	-1.5	-9.36112813383058
"37"	-1.2	-6.80188395257053
"38"	0.3	0.34251390016852
"39"	-1.6	-10.3825615501602
"40"	0.4	0.472237429299018
"41"	1.2	0.297564259240675
"42"	-1.5	-9.13271668180844
"43"	-0.2	-0.992461545667303
"44"	1.7	-1.21741286540317
"45"	-1.1	-5.80711103145411
"46"	-0.7	-3.20310075188702
"47"	1.7	-0.942869875893189
"48"	0.5	0.644322518558974
"49"	1	0.642969426803095
"50"	-1.9	-13.5918520474928
